La tarea 15, el trabajador 3, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 15, el trabajador 6, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 15, el trabajador 6, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 24, el trabajador 3, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 24, el trabajador 3, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 24, el trabajador 7, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 29, el trabajador 0, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 29, el trabajador 2, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 29, el trabajador 5, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 29, el trabajador 7, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 30, el trabajador 0, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 30, el trabajador 4, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 30, el trabajador 8, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 41, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 41, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 41, el trabajador 5, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 45, el trabajador 1, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 45, el trabajador 4, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 45, el trabajador 6, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 56, el trabajador 1, el horario 2, el dia 0, rango salarial 0: 1.0
La tarea 56, el trabajador 3, el horario 2, el dia 0, rango salarial 1: 1.0
La tarea 56, el trabajador 7, el horario 2, el dia 0, rango salarial 0: 1.0
La tarea 56, el trabajador 7, el horario 2, el dia 0, rango salarial 1: 1.0
La tarea 58, el trabajador 1, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 58, el trabajador 5, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 58, el trabajador 7, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 72, el trabajador 0, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 72, el trabajador 3, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 72, el trabajador 5, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 77, el trabajador 0, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 77, el trabajador 1, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 77, el trabajador 2, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 95, el trabajador 2, el horario 2, el dia 5, rango salarial 1: 1.0
La tarea 95, el trabajador 3, el horario 2, el dia 5, rango salarial 2: 1.0
La tarea 95, el trabajador 5, el horario 2, el dia 5, rango salarial 3: 1.0
La tarea 95, el trabajador 6, el horario 2, el dia 5, rango salarial 2: 1.0
La tarea 95, el trabajador 8, el horario 2, el dia 5, rango salarial 2: 1.0
La tarea 96, el trabajador 1, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 96, el trabajador 5, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 96, el trabajador 8, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 112, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 112, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 112, el trabajador 8, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 112, el trabajador 8, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 133, el trabajador 5, el horario 2, el dia 4, rango salarial 0: 1.0
La tarea 133, el trabajador 7, el horario 2, el dia 4, rango salarial 3: 1.0
La tarea 133, el trabajador 9, el horario 2, el dia 4, rango salarial 1: 1.0
La tarea 141, el trabajador 0, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 141, el trabajador 6, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 141, el trabajador 9, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 161, el trabajador 0, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 161, el trabajador 1, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 161, el trabajador 3, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 161, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 168, el trabajador 0, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 168, el trabajador 3, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 168, el trabajador 5, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 168, el trabajador 6, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 177, el trabajador 2, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 177, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 177, el trabajador 7, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 181, el trabajador 0, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 181, el trabajador 2, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 181, el trabajador 6, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 181, el trabajador 7, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 206, el trabajador 7, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 206, el trabajador 8, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 206, el trabajador 9, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 208, el trabajador 0, el horario 0, el dia 4, rango salarial 3: 1.0
La tarea 208, el trabajador 1, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 208, el trabajador 2, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 208, el trabajador 2, el horario 0, el dia 4, rango salarial 3: 1.0
La tarea 208, el trabajador 8, el horario 0, el dia 4, rango salarial 3: 1.0
La tarea 231, el trabajador 0, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 231, el trabajador 5, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 231, el trabajador 6, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 231, el trabajador 8, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 231, el trabajador 8, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 233, el trabajador 2, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 233, el trabajador 4, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 233, el trabajador 5, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 237, el trabajador 0, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 237, el trabajador 1, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 237, el trabajador 7, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 245, el trabajador 2, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 245, el trabajador 3, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 245, el trabajador 5, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 245, el trabajador 7, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 259, el trabajador 1, el horario 3, el dia 0, rango salarial 1: 1.0
