Funcion objetivo: 3539265.0(error termination)


** Creation Runtime:0:10:19
** Execution Default Runtime:0:21:54

La tarea 0, el trabajador 3, el horario 2, el dia 2, rango salarial 2: 1.0
La tarea 0, el trabajador 33, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 0, el trabajador 38, el horario 2, el dia 2, rango salarial 2: 1.0
La tarea 0, el trabajador 39, el horario 2, el dia 2, rango salarial 0: 1.0
La tarea 0, el trabajador 48, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 0, el trabajador 72, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 0, el trabajador 72, el horario 2, el dia 2, rango salarial 2: 1.0
La tarea 0, el trabajador 84, el horario 2, el dia 2, rango salarial 0: 1.0
La tarea 0, el trabajador 92, el horario 2, el dia 2, rango salarial 0: 1.0
La tarea 1, el trabajador 4, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 1, el trabajador 17, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 1, el trabajador 20, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 1, el trabajador 34, el horario 0, el dia 5, rango salarial 1: 1.0
La tarea 1, el trabajador 57, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 1, el trabajador 67, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 1, el trabajador 68, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 1, el trabajador 97, el horario 0, el dia 5, rango salarial 1: 1.0
La tarea 2, el trabajador 26, el horario 1, el dia 1, rango salarial 1: 1.0
La tarea 2, el trabajador 51, el horario 1, el dia 1, rango salarial 1: 1.0
La tarea 2, el trabajador 83, el horario 1, el dia 1, rango salarial 2: 1.0
La tarea 4, el trabajador 21, el horario 2, el dia 1, rango salarial 3: 1.0
La tarea 4, el trabajador 22, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 4, el trabajador 51, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 4, el trabajador 59, el horario 2, el dia 1, rango salarial 0: 1.0
La tarea 4, el trabajador 86, el horario 2, el dia 1, rango salarial 2: 1.0
La tarea 4, el trabajador 87, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 4, el trabajador 96, el horario 2, el dia 1, rango salarial 1: 1.0
La tarea 5, el trabajador 6, el horario 1, el dia 4, rango salarial 0: 1.0
La tarea 5, el trabajador 16, el horario 1, el dia 4, rango salarial 2: 1.0
La tarea 5, el trabajador 19, el horario 1, el dia 4, rango salarial 2: 1.0
La tarea 5, el trabajador 25, el horario 1, el dia 4, rango salarial 2: 1.0
La tarea 5, el trabajador 47, el horario 1, el dia 4, rango salarial 1: 1.0
La tarea 5, el trabajador 55, el horario 1, el dia 4, rango salarial 0: 1.0
La tarea 5, el trabajador 79, el horario 1, el dia 4, rango salarial 0: 1.0
La tarea 7, el trabajador 24, el horario 3, el dia 3, rango salarial 1: 1.0
La tarea 7, el trabajador 28, el horario 3, el dia 3, rango salarial 2: 1.0
La tarea 7, el trabajador 36, el horario 3, el dia 3, rango salarial 0: 1.0
La tarea 7, el trabajador 38, el horario 3, el dia 3, rango salarial 2: 1.0
La tarea 7, el trabajador 45, el horario 3, el dia 3, rango salarial 3: 1.0
La tarea 7, el trabajador 59, el horario 3, el dia 3, rango salarial 2: 1.0
La tarea 7, el trabajador 65, el horario 3, el dia 3, rango salarial 0: 1.0
La tarea 7, el trabajador 66, el horario 3, el dia 3, rango salarial 0: 1.0
La tarea 7, el trabajador 78, el horario 3, el dia 3, rango salarial 2: 1.0
La tarea 7, el trabajador 79, el horario 3, el dia 3, rango salarial 0: 1.0
La tarea 7, el trabajador 86, el horario 3, el dia 3, rango salarial 0: 1.0
La tarea 8, el trabajador 14, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 8, el trabajador 19, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 8, el trabajador 32, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 8, el trabajador 59, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 8, el trabajador 69, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 8, el trabajador 71, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 8, el trabajador 80, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 8, el trabajador 98, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 9, el trabajador 49, el horario 0, el dia 5, rango salarial 1: 1.0
La tarea 9, el trabajador 54, el horario 0, el dia 5, rango salarial 1: 1.0
La tarea 9, el trabajador 62, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 9, el trabajador 75, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 9, el trabajador 81, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 11, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 11, el trabajador 25, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 11, el trabajador 63, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 11, el trabajador 81, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 12, el trabajador 45, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 12, el trabajador 54, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 12, el trabajador 59, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 12, el trabajador 85, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 13, el trabajador 0, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 13, el trabajador 9, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 13, el trabajador 13, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 13, el trabajador 23, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 13, el trabajador 33, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 13, el trabajador 35, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 13, el trabajador 38, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 13, el trabajador 42, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 13, el trabajador 46, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 13, el trabajador 59, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 13, el trabajador 85, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 13, el trabajador 96, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 14, el trabajador 2, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 14, el trabajador 37, el horario 1, el dia 2, rango salarial 1: 1.0
