La tarea 0, el trabajador 3, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 0, el trabajador 6, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 0, el trabajador 16, el horario 1, el dia 5, rango salarial 2: 1.0
La tarea 0, el trabajador 28, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 0, el trabajador 36, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 0, el trabajador 42, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 0, el trabajador 47, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 2, el trabajador 21, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 2, el trabajador 22, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 2, el trabajador 26, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 2, el trabajador 28, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 2, el trabajador 42, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 2, el trabajador 45, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 3, el trabajador 5, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 3, el trabajador 33, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 3, el trabajador 42, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 3, el trabajador 45, el horario 4, el dia 3, rango salarial 1: 1.0
La tarea 4, el trabajador 0, el horario 3, el dia 2, rango salarial 2: 1.0
La tarea 4, el trabajador 15, el horario 3, el dia 2, rango salarial 2: 1.0
La tarea 4, el trabajador 24, el horario 3, el dia 2, rango salarial 2: 1.0
La tarea 4, el trabajador 33, el horario 3, el dia 2, rango salarial 2: 1.0
La tarea 4, el trabajador 37, el horario 3, el dia 2, rango salarial 0: 1.0
La tarea 4, el trabajador 45, el horario 3, el dia 2, rango salarial 0: 1.0
La tarea 4, el trabajador 47, el horario 3, el dia 2, rango salarial 0: 1.0
La tarea 5, el trabajador 1, el horario 3, el dia 0, rango salarial 2: 1.0
La tarea 5, el trabajador 7, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 5, el trabajador 8, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 5, el trabajador 13, el horario 3, el dia 0, rango salarial 2: 1.0
La tarea 5, el trabajador 23, el horario 3, el dia 0, rango salarial 1: 1.0
La tarea 5, el trabajador 35, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 6, el trabajador 17, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 6, el trabajador 19, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 6, el trabajador 20, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 6, el trabajador 23, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 6, el trabajador 31, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 6, el trabajador 36, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 6, el trabajador 47, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 8, el trabajador 0, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 8, el trabajador 3, el horario 4, el dia 4, rango salarial 3: 1.0
La tarea 8, el trabajador 12, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 8, el trabajador 12, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 8, el trabajador 36, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 11, el trabajador 0, el horario 4, el dia 3, rango salarial 1: 1.0
La tarea 11, el trabajador 4, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 11, el trabajador 7, el horario 4, el dia 3, rango salarial 1: 1.0
La tarea 11, el trabajador 19, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 11, el trabajador 20, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 11, el trabajador 24, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 11, el trabajador 24, el horario 4, el dia 3, rango salarial 1: 1.0
