Funcion objetivo: 1291389.0(integer optimal solution)


** Creation Runtime:0:0:34
** Execution Default Runtime:0:42:48

La tarea 1, el trabajador 1, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 1, el trabajador 3, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 1, el trabajador 9, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 8, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 8, el trabajador 9, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 8, el trabajador 15, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 8, el trabajador 18, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 10, el trabajador 7, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 10, el trabajador 10, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 10, el trabajador 11, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 10, el trabajador 14, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 10, el trabajador 16, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 11, el trabajador 1, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 11, el trabajador 4, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 11, el trabajador 9, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 11, el trabajador 11, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 11, el trabajador 15, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 14, el trabajador 0, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 14, el trabajador 3, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 14, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 14, el trabajador 18, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 16, el trabajador 0, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 16, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 16, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 16, el trabajador 8, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 16, el trabajador 9, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 16, el trabajador 16, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 16, el trabajador 17, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 17, el trabajador 2, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 17, el trabajador 7, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 17, el trabajador 13, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 26, el trabajador 0, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 26, el trabajador 2, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 26, el trabajador 4, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 26, el trabajador 16, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 30, el trabajador 3, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 30, el trabajador 5, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 30, el trabajador 10, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 30, el trabajador 12, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 31, el trabajador 3, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 31, el trabajador 18, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 31, el trabajador 19, el horario 4, el dia 0, rango salarial 0: 1.0
